GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US360050065002,3.60E+11,Block Group 2  Census Tract 65  Bronx County  New York,9271,1396
1500000US360050065003,3.60E+11,Block Group 3  Census Tract 65  Bronx County  New York,9426,1927
1500000US360050065004,3.60E+11,Block Group 4  Census Tract 65  Bronx County  New York,16193,7409
1500000US360050067001,3.60E+11,Block Group 1  Census Tract 67  Bronx County  New York,15572,7159
1500000US360050067002,3.60E+11,Block Group 2  Census Tract 67  Bronx County  New York,5124,3058
1500000US360050067003,3.60E+11,Block Group 3  Census Tract 67  Bronx County  New York,8557,2253
1500000US360050067004,3.60E+11,Block Group 4  Census Tract 67  Bronx County  New York,6780,2088
1500000US360050067005,3.60E+11,Block Group 5  Census Tract 67  Bronx County  New York,15169,7516
1500000US360050067006,3.60E+11,Block Group 6  Census Tract 67  Bronx County  New York,17457,9236
1500000US360050068001,3.60E+11,Block Group 1  Census Tract 68  Bronx County  New York,14419,3506
1500000US360050068002,3.60E+11,Block Group 2  Census Tract 68  Bronx County  New York,14897,7244
1500000US360050068003,3.60E+11,Block Group 3  Census Tract 68  Bronx County  New York,17190,3577
1500000US360050069001,3.60E+11,Block Group 1  Census Tract 69  Bronx County  New York,14901,3397
1500000US360050069002,3.60E+11,Block Group 2  Census Tract 69  Bronx County  New York,12852,3803
1500000US360050069003,3.60E+11,Block Group 3  Census Tract 69  Bronx County  New York,12713,8302
1500000US360050069004,3.60E+11,Block Group 4  Census Tract 69  Bronx County  New York,7960,3716
1500000US360050070001,3.60E+11,Block Group 1  Census Tract 70  Bronx County  New York,14631,2279
1500000US360050070002,3.60E+11,Block Group 2  Census Tract 70  Bronx County  New York,11724,4335
1500000US360050070003,3.60E+11,Block Group 3  Census Tract 70  Bronx County  New York,14483,5314
1500000US360050071001,3.60E+11,Block Group 1  Census Tract 71  Bronx County  New York,23327,4029
1500000US360050071002,3.60E+11,Block Group 2  Census Tract 71  Bronx County  New York,12660,2471
1500000US360050072001,3.60E+11,Block Group 1  Census Tract 72  Bronx County  New York,19162,5507
1500000US360050072002,3.60E+11,Block Group 2  Census Tract 72  Bronx County  New York,14750,3134
1500000US360050072003,3.60E+11,Block Group 3  Census Tract 72  Bronx County  New York,23891,8219
1500000US360050072004,3.60E+11,Block Group 4  Census Tract 72  Bronx County  New York,13284,6715
1500000US360050073001,3.60E+11,Block Group 1  Census Tract 73  Bronx County  New York,11870,3724
1500000US360050073002,3.60E+11,Block Group 2  Census Tract 73  Bronx County  New York,7955,2483
1500000US360050073003,3.60E+11,Block Group 3  Census Tract 73  Bronx County  New York,13382,3659
1500000US360050074001,3.60E+11,Block Group 1  Census Tract 74  Bronx County  New York,24116,5020
1500000US360050074002,3.60E+11,Block Group 2  Census Tract 74  Bronx County  New York,10595,3215
1500000US360050074003,3.60E+11,Block Group 3  Census Tract 74  Bronx County  New York,29490,6690
1500000US360050075001,3.60E+11,Block Group 1  Census Tract 75  Bronx County  New York,17971,5345
1500000US360050075002,3.60E+11,Block Group 2  Census Tract 75  Bronx County  New York,11907,2791
1500000US360050075003,3.60E+11,Block Group 3  Census Tract 75  Bronx County  New York,11416,2521
1500000US360050075004,3.60E+11,Block Group 4  Census Tract 75  Bronx County  New York,10398,3709
1500000US360050076001,3.60E+11,Block Group 1  Census Tract 76  Bronx County  New York,20199,4697
1500000US360050076002,3.60E+11,Block Group 2  Census Tract 76  Bronx County  New York,23169,6851
1500000US360050076003,3.60E+11,Block Group 3  Census Tract 76  Bronx County  New York,18458,6165
1500000US360050076004,3.60E+11,Block Group 4  Census Tract 76  Bronx County  New York,14581,4584
1500000US360050076005,3.60E+11,Block Group 5  Census Tract 76  Bronx County  New York,14418,3312
1500000US360050077001,3.60E+11,Block Group 1  Census Tract 77  Bronx County  New York,14122,2708
1500000US360050078001,3.60E+11,Block Group 1  Census Tract 78  Bronx County  New York,13581,4024
1500000US360050078002,3.60E+11,Block Group 2  Census Tract 78  Bronx County  New York,16195,4008
1500000US360050078003,3.60E+11,Block Group 3  Census Tract 78  Bronx County  New York,12952,3572
1500000US360050078004,3.60E+11,Block Group 4  Census Tract 78  Bronx County  New York,11577,3808
1500000US360050079001,3.60E+11,Block Group 1  Census Tract 79  Bronx County  New York,12724,3753
1500000US360050079002,3.60E+11,Block Group 2  Census Tract 79  Bronx County  New York,30680,19640
1500000US360050079003,3.60E+11,Block Group 3  Census Tract 79  Bronx County  New York,10417,3408
1500000US360050079004,3.60E+11,Block Group 4  Census Tract 79  Bronx County  New York,12149,4354
1500000US360050079005,3.60E+11,Block Group 5  Census Tract 79  Bronx County  New York,11117,5087
1500000US360050079006,3.60E+11,Block Group 6  Census Tract 79  Bronx County  New York,8819,1909
1500000US360050083001,3.60E+11,Block Group 1  Census Tract 83  Bronx County  New York,8815,3261
1500000US360050083002,3.60E+11,Block Group 2  Census Tract 83  Bronx County  New York,4203,3481
1500000US360050083003,3.60E+11,Block Group 3  Census Tract 83  Bronx County  New York,11586,3152
1500000US360050083004,3.60E+11,Block Group 4  Census Tract 83  Bronx County  New York,12601,5270
1500000US360050083005,3.60E+11,Block Group 5  Census Tract 83  Bronx County  New York,15366,3993
1500000US360050083006,3.60E+11,Block Group 6  Census Tract 83  Bronx County  New York,10036,4963
1500000US360050084001,3.60E+11,Block Group 1  Census Tract 84  Bronx County  New York,16234,3918
1500000US360050084002,3.60E+11,Block Group 2  Census Tract 84  Bronx County  New York,27194,6176
1500000US360050085001,3.60E+11,Block Group 1  Census Tract 85  Bronx County  New York,10741,4407
1500000US360050085002,3.60E+11,Block Group 2  Census Tract 85  Bronx County  New York,12050,2321
1500000US360050085003,3.60E+11,Block Group 3  Census Tract 85  Bronx County  New York,19037,6728
1500000US360050085004,3.60E+11,Block Group 4  Census Tract 85  Bronx County  New York,12224,4893
1500000US360050085005,3.60E+11,Block Group 5  Census Tract 85  Bronx County  New York,8316,1795
1500000US360050086001,3.60E+11,Block Group 1  Census Tract 86  Bronx County  New York,21522,3560
1500000US360050086002,3.60E+11,Block Group 2  Census Tract 86  Bronx County  New York,9434,1931
1500000US360050086003,3.60E+11,Block Group 3  Census Tract 86  Bronx County  New York,9771,2357
1500000US360050087001,3.60E+11,Block Group 1  Census Tract 87  Bronx County  New York,13119,3079
1500000US360050087002,3.60E+11,Block Group 2  Census Tract 87  Bronx County  New York,14512,2636
1500000US360050087003,3.60E+11,Block Group 3  Census Tract 87  Bronx County  New York,17144,7140
1500000US360050087004,3.60E+11,Block Group 4  Census Tract 87  Bronx County  New York,13470,6631
1500000US360050087005,3.60E+11,Block Group 5  Census Tract 87  Bronx County  New York,11339,3535
1500000US360050089001,3.60E+11,Block Group 1  Census Tract 89  Bronx County  New York,8710,1570
1500000US360050089002,3.60E+11,Block Group 2  Census Tract 89  Bronx County  New York,13190,3019
1500000US360050090000,3.60E+11,Block Group 0  Census Tract 90  Bronx County  New York,,
1500000US360050090001,3.60E+11,Block Group 1  Census Tract 90  Bronx County  New York,,
1500000US360050090002,3.60E+11,Block Group 2  Census Tract 90  Bronx County  New York,33837,7396
1500000US360050090003,3.60E+11,Block Group 3  Census Tract 90  Bronx County  New York,7996,4013
1500000US360050090004,3.60E+11,Block Group 4  Census Tract 90  Bronx County  New York,29519,6218
1500000US360050090005,3.60E+11,Block Group 5  Census Tract 90  Bronx County  New York,15169,8571
1500000US360050092001,3.60E+11,Block Group 1  Census Tract 92  Bronx County  New York,30250,15333
1500000US360050092002,3.60E+11,Block Group 2  Census Tract 92  Bronx County  New York,16936,7795
1500000US360050092003,3.60E+11,Block Group 3  Census Tract 92  Bronx County  New York,16858,2440
1500000US360050092004,3.60E+11,Block Group 4  Census Tract 92  Bronx County  New York,16545,5912
1500000US360050092005,3.60E+11,Block Group 5  Census Tract 92  Bronx County  New York,18902,5183
1500000US360050093000,3.60E+11,Block Group 0  Census Tract 93  Bronx County  New York,,
1500000US360050093001,3.60E+11,Block Group 1  Census Tract 93  Bronx County  New York,10923,2098
1500000US360050093002,3.60E+11,Block Group 2  Census Tract 93  Bronx County  New York,11985,4273
1500000US360050093003,3.60E+11,Block Group 3  Census Tract 93  Bronx County  New York,11621,3454
1500000US360050093004,3.60E+11,Block Group 4  Census Tract 93  Bronx County  New York,12299,2270
1500000US360050093005,3.60E+11,Block Group 5  Census Tract 93  Bronx County  New York,11168,4030
1500000US360050093006,3.60E+11,Block Group 6  Census Tract 93  Bronx County  New York,11058,4013
1500000US360050096001,3.60E+11,Block Group 1  Census Tract 96  Bronx County  New York,13228,3045
1500000US360050096002,3.60E+11,Block Group 2  Census Tract 96  Bronx County  New York,20894,5719
1500000US360050098001,3.60E+11,Block Group 1  Census Tract 98  Bronx County  New York,21728,8471
1500000US360050098002,3.60E+11,Block Group 2  Census Tract 98  Bronx County  New York,26926,5249
1500000US360050098003,3.60E+11,Block Group 3  Census Tract 98  Bronx County  New York,31501,7684
1500000US360050098004,3.60E+11,Block Group 4  Census Tract 98  Bronx County  New York,22762,4266
1500000US360050098005,3.60E+11,Block Group 5  Census Tract 98  Bronx County  New York,21626,5136
1500000US360050110000,3.60E+11,Block Group 0  Census Tract 110  Bronx County  New York,,
1500000US360050110001,3.60E+11,Block Group 1  Census Tract 110  Bronx County  New York,19153,8979
1500000US360050115020,3.60E+11,Block Group 0  Census Tract 115.02  Bronx County  New York,,
1500000US360050115021,3.60E+11,Block Group 1  Census Tract 115.02  Bronx County  New York,10467,2273
1500000US360050115022,3.60E+11,Block Group 2  Census Tract 115.02  Bronx County  New York,8470,2043
1500000US360050115023,3.60E+11,Block Group 3  Census Tract 115.02  Bronx County  New York,10890,2906
1500000US360050117000,3.60E+11,Block Group 0  Census Tract 117  Bronx County  New York,,
1500000US360050117001,3.60E+11,Block Group 1  Census Tract 117  Bronx County  New York,16164,2795
1500000US360050117002,3.60E+11,Block Group 2  Census Tract 117  Bronx County  New York,,
1500000US360050118000,3.60E+11,Block Group 0  Census Tract 118  Bronx County  New York,,
1500000US360050118001,3.60E+11,Block Group 1  Census Tract 118  Bronx County  New York,19130,3647
1500000US360050118002,3.60E+11,Block Group 2  Census Tract 118  Bronx County  New York,43134,9094
1500000US360050118003,3.60E+11,Block Group 3  Census Tract 118  Bronx County  New York,36461,8637
1500000US360050119001,3.60E+11,Block Group 1  Census Tract 119  Bronx County  New York,11078,2883
1500000US360050119002,3.60E+11,Block Group 2  Census Tract 119  Bronx County  New York,10300,2487
1500000US360050119003,3.60E+11,Block Group 3  Census Tract 119  Bronx County  New York,15299,3857
1500000US360050119004,3.60E+11,Block Group 4  Census Tract 119  Bronx County  New York,9157,1392
1500000US360050119005,3.60E+11,Block Group 5  Census Tract 119  Bronx County  New York,28102,24476
1500000US360050121011,3.60E+11,Block Group 1  Census Tract 121.01  Bronx County  New York,10595,1937
1500000US360050121012,3.60E+11,Block Group 2  Census Tract 121.01  Bronx County  New York,12169,1766
1500000US360050121021,3.60E+11,Block Group 1  Census Tract 121.02  Bronx County  New York,9206,2298
1500000US360050123001,3.60E+11,Block Group 1  Census Tract 123  Bronx County  New York,8853,1741
1500000US360050123002,3.60E+11,Block Group 2  Census Tract 123  Bronx County  New York,17435,5308
1500000US360050123003,3.60E+11,Block Group 3  Census Tract 123  Bronx County  New York,7742,1678
1500000US360050125001,3.60E+11,Block Group 1  Census Tract 125  Bronx County  New York,12066,2301
1500000US360050125002,3.60E+11,Block Group 2  Census Tract 125  Bronx County  New York,16993,4725
1500000US360050127011,3.60E+11,Block Group 1  Census Tract 127.01  Bronx County  New York,11637,2456
1500000US360050127012,3.60E+11,Block Group 2  Census Tract 127.01  Bronx County  New York,12272,3082
1500000US360050129011,3.60E+11,Block Group 1  Census Tract 129.01  Bronx County  New York,8395,2229
1500000US360050129012,3.60E+11,Block Group 2  Census Tract 129.01  Bronx County  New York,11182,1490
1500000US360050130001,3.60E+11,Block Group 1  Census Tract 130  Bronx County  New York,34590,5789
1500000US360050131001,3.60E+11,Block Group 1  Census Tract 131  Bronx County  New York,12133,3116
