SCHOOL_NAME,YEAR,TOTAL,Asian_Per,Black_Per,Hispanic_Per,Indian_Per,White_Per,FreeReducedLunch_FTE_Per
GATEWAY ELEM. (4730),2008,464,3,73.9,4.7,3.2,15.1,73.9
GATEWAY HIGH (1220),2015,1121,8.7,59.6,8,0.3,23.5,*
GATEWAY HIGH (1220),2014,1158,9,59.3,7.3,0.3,24.1,80.1
GATEWAY HIGH (1220),2013,1177,8.8,59.9,5.9,0.3,25.1,81.9
GATEWAY HIGH (1220),2012,1200,7.8,60.9,4.8,0.2,26.3,84.2
GATEWAY HIGH (1220),2011,1165,6.2,62.3,4,0.3,27.2,75.3
GATEWAY HIGH (1220),2010,1123,4.7,67.6,3.3,0.3,24.1,76.3
GATEWAY HIGH (1220),2009,1154,4.9,69.1,2.9,0.5,22.6,56.6
GATEWAY HIGH (1220),2008,1213,5.1,67.7,1.8,0.7,24.7,52.4
GATEWAY MIDDLE (3230),2015,559,5,90,2,0.2,2.9,*
GATEWAY MIDDLE (3230),2014,592,3.7,87.8,2.5,0.7,5.2,92
GATEWAY MIDDLE (3230),2013,569,4,83.3,4.7,0.4,7.6,91.4
GATEWAY MIDDLE (3230),2012,481,4.2,81.5,5,0.8,8.5,90.6
GATEWAY MIDDLE (3230),2011,464,3.9,81.9,3.2,0.6,10.3,87.9
GATEWAY MIDDLE (3230),2010,437,5,77.8,3.4,0.9,12.8,89
GATEWAY MIDDLE (3230),2009,426,6.3,73,3.8,0.2,16.7,73.4
GATEWAY MIDDLE (3230),2008,375,7.2,71.5,5.1,0,16.3,70.2
GRISCOM JUVENILE DETENTION CTR (1015),2015,12,0,91.7,0,0,8.3,*
GRISCOM JUVENILE DETENTION CTR (1015),2011,43,2.3,95.3,0,0,2.3,65.9
GRISCOM JUVENILE DETENTION CTR (1015),2010,36,2.8,97.2,0,0,0,48.1
GRISCOM JUVENILE DETENTION CTR (1015),2009,23,0,95.7,0,0,4.3,34.3
GRISCOM JUVENILE DETENTION CTR (1015),2008,46,0,100,0,0,0,*
GUNDLACH ELEM. (4760),2008,216,0,100,0,0,0,90
HAMILTON ELEM. COMMUNITY ED. (4780),2015,350,0,99.7,0.3,0,0,*
HAMILTON ELEM. COMMUNITY ED. (4780),2014,366,0.8,98.6,0.5,0,0,*
HAMILTON ELEM. COMMUNITY ED. (4780),2013,323,0.6,97.2,1.9,0,0.3,*
HAMILTON ELEM. COMMUNITY ED. (4780),2012,231,1.3,97,0.9,0,0.9,*
HAMILTON ELEM. COMMUNITY ED. (4780),2011,297,1.7,96,1.3,0,1,*
HAMILTON ELEM. COMMUNITY ED. (4780),2010,344,2.3,94.8,0.9,0,2,89.6
HAMILTON ELEM. COMMUNITY ED. (4780),2009,278,1.1,97.8,0.7,0,0.4,78.7
HAMILTON ELEM. COMMUNITY ED. (4780),2008,214,1.4,98.1,0,0,0.5,86.6
HENRY ELEM. (4880),2015,182,0.5,99.5,0,0,0,*
HENRY ELEM. (4880),2014,181,1.1,98.3,0,0,0.6,*
HENRY ELEM. (4880),2013,215,0.9,97.7,0.5,0,0.9,*
HENRY ELEM. (4880),2012,212,2.4,96.7,0,0,0.9,*
HENRY ELEM. (4880),2011,280,1.1,96.4,0,0,2.5,*
HENRY ELEM. (4880),2010,231,1.3,90,0.4,0.4,7.8,87.8
HENRY ELEM. (4880),2009,165,1.2,92.1,0.6,0.6,5.5,74.1
HENRY ELEM. (4880),2008,189,0.5,97.9,0,0,1.6,84.1
HERZOG ELEM. (4900),2015,401,0,99.8,0.2,0,0,*
HERZOG ELEM. (4900),2014,389,0,99.7,0,0,0.3,94.9
HERZOG ELEM. (4900),2013,372,0,99.7,0,0,0.3,*
HERZOG ELEM. (4900),2012,369,0,99.5,0,0,0.5,*
HERZOG ELEM. (4900),2011,353,0,99.7,0,0,0.3,94
HERZOG ELEM. (4900),2010,387,0.3,99.7,0,0,0,90.8
HERZOG ELEM. (4900),2009,228,0,100,0,0,0,72.1
HERZOG ELEM. (4900),2008,247,0.4,99.2,0,0,0.4,87.9
HICKEY ELEM. (4890),2015,196,0,99,0,0,1,*
HICKEY ELEM. (4890),2014,212,0,100,0,0,0,*
HICKEY ELEM. (4890),2013,187,0.5,98.9,0,0,0.5,*
HICKEY ELEM. (4890),2012,207,0,99.5,0,0,0.5,*
HICKEY ELEM. (4890),2011,217,0.5,98.6,0,0.5,0.5,*
HICKEY ELEM. (4890),2010,260,0,99.6,0,0.4,0,*
HICKEY ELEM. (4890),2009,199,0,100,0,0,0,67.1
HICKEY ELEM. (4890),2008,225,1.3,97.3,0,0,1.3,81.2
HODGEN ELEM. (4920),2015,269,1.5,95.5,0.7,0.4,1.9,*
HODGEN ELEM. (4920),2014,280,1.8,96.1,0.7,0.4,1.1,*
HODGEN ELEM. (4920),2013,257,2.7,94.2,0,0.4,2.7,94.3
HODGEN ELEM. (4920),2012,233,1.7,95.3,0.4,0.4,2.1,*
HODGEN ELEM. (4920),2011,244,1.2,95.9,0.8,0,2,94.2
HODGEN ELEM. (4920),2010,223,0.4,97.3,0.4,0,1.8,93.9
HODGEN ELEM. (4920),2009,223,0,97.3,1.3,0,1.3,80.2
HODGEN ELEM. (4920),2008,201,0.5,98,1,0,0.5,81.5
HUMBOLDT ACAD OF HIGHER LRNING (4960),2015,315,0.6,92.7,1,0,5.7,*
HUMBOLDT ACAD OF HIGHER LRNING (4960),2014,298,0.7,89.3,1.7,0,8.4,88.9
HUMBOLDT ACAD OF HIGHER LRNING (4960),2013,280,0.7,86.8,2.1,0,10.4,83.9
HUMBOLDT ACAD OF HIGHER LRNING (4960),2012,166,0,83.7,1.8,0,14.5,82
JEFFERSON ELEM. (5020),2015,203,0,99,0,0,1,*
