"","School.Name","CONTENT_AREA","CATEGORY","TYPE","GRADE_SUBJECT","YEAR","ACCOUNTABLE","PARTICIPANT","REPORTABLE","LEVEL_NOT_DETERMINED","LEVEL_NOT_DETERMINED_PCT","BELOW_BASIC","BELOW_BASIC_PCT","BASIC","BASIC_PCT","PROFICIENT","PROFICIENT_PCT","ADVANCED","ADVANCED_PCT","MAP_INDEX","MEAN_SCALE_SCORE","MEDIAN_TERRANOVA"
"69","ASHLAND ELEM. AND BR.  (4060)","Mathematics","Total","Total","Third Grade",2015,45,NA,45,NA,NA,34,75.6,10,22.2,NA,NA,NA,NA,NA,2327.7,"--"
"70","ASHLAND ELEM. AND BR.  (4060)","Mathematics","Total","Total","Fourth Grade",2015,39,NA,39,NA,NA,24,61.5,13,33.3,NA,5.1,NA,NA,NA,2386.9,"--"
"71","ASHLAND ELEM. AND BR.  (4060)","Mathematics","Total","Total","Fifth Grade",2015,36,NA,36,NA,NA,20,55.6,12,33.3,NA,11.1,NA,NA,NA,2447,"--"
"72","ASHLAND ELEM. AND BR.  (4060)","Mathematics","Total","Total","Sixth Grade",2015,36,NA,36,NA,NA,29,80.6,NA,19.4,NA,NA,NA,NA,NA,2400.4,"--"
"73","ASHLAND ELEM. AND BR.  (4060)","Science","Total","Total","Fifth Grade",2015,37,NA,37,NA,NA,15,40.5,18,48.6,NA,8.1,NA,NA,NA,632.2,"--"
"74","BEAUMONT CTE HIGH SCHOOL  (1250)","Science","Total","Total","Eleventh Grade",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"--"
"75","BRYAN HILL ELEM.  (4180)","Eng. Language Arts","Total","Total","Third Grade",2015,25,NA,25,NA,NA,15,60,NA,28,NA,NA,NA,8,NA,2340.3,"--"
"76","BRYAN HILL ELEM.  (4180)","Eng. Language Arts","Total","Total","Fourth Grade",2015,26,NA,26,NA,NA,11,42.3,NA,34.6,NA,19.2,NA,NA,NA,2400.7,"--"
"77","BRYAN HILL ELEM.  (4180)","Eng. Language Arts","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,13,56.5,NA,21.7,NA,17.4,NA,NA,NA,2440.1,"--"
"78","BRYAN HILL ELEM.  (4180)","Mathematics","Total","Total","Third Grade",2015,25,NA,25,NA,NA,17,68,NA,12,NA,20,NA,NA,NA,2347,"--"
"79","BRYAN HILL ELEM.  (4180)","Mathematics","Total","Total","Fourth Grade",2015,26,NA,26,NA,NA,13,50,11,42.3,NA,7.7,NA,NA,NA,2403.7,"--"
"80","BRYAN HILL ELEM.  (4180)","Mathematics","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,13,56.5,10,43.5,NA,NA,NA,NA,NA,2430.5,"--"
"81","BRYAN HILL ELEM.  (4180)","Science","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,NA,30.4,13,56.5,NA,13,NA,NA,NA,639.9,"--"
"82","BUDER ELEM.  (4200)","Eng. Language Arts","Total","Total","Third Grade",2015,47,NA,47,NA,NA,12,25.5,15,31.9,13,27.7,NA,14.9,NA,2415.4,"--"
"83","BUDER ELEM.  (4200)","Eng. Language Arts","Total","Total","Fourth Grade",2015,57,NA,57,NA,NA,32,56.1,NA,14,11,19.3,NA,10.5,NA,2415.1,"--"
"84","BUDER ELEM.  (4200)","Eng. Language Arts","Total","Total","Fifth Grade",2015,28,NA,28,NA,NA,11,39.3,NA,25,NA,32.1,NA,NA,NA,2456.7,"--"
