"","Name","YEAR","ENROLLMENT","TotalNumberOfIncidents"
"249","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2008,294,34
"250","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2009,315,28
"251","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2010,336,18
"252","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2011,318,41
"253","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2012,275,20
"254","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2013,258,24
"255","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2014,245,14
"256","LONG MIDDLE COMMUNITY ED. CTR. (3260)",2015,239,19
"257","L'OUVERTURE MIDDLE (3280)",2008,207,22
"258","L'OUVERTURE MIDDLE (3280)",2009,232,42
"259","L'OUVERTURE MIDDLE (3280)",2010,300,50
"260","L'OUVERTURE MIDDLE (3280)",2011,258,42
"261","L'OUVERTURE MIDDLE (3280)",2012,238,29
"262","L'OUVERTURE MIDDLE (3280)",2013,204,30
"263","L'OUVERTURE MIDDLE (3280)",2014,0,0
"264","L'OUVERTURE MIDDLE (3280)",NA,NA,NA
"265","NORTHWEST MIDDLE (3310)",2008,153,11
"266","NORTHWEST MIDDLE (3310)",2009,65,2
"267","NORTHWEST MIDDLE (3310)",NA,NA,NA
"268","NORTHWEST MIDDLE (3310)",NA,NA,NA
"269","NORTHWEST MIDDLE (3310)",NA,NA,NA
"270","NORTHWEST MIDDLE (3310)",NA,NA,NA
"271","NORTHWEST MIDDLE (3310)",NA,NA,NA
"272","NORTHWEST MIDDLE (3310)",NA,NA,NA
"273","COMPTON-DREW ILC MIDDLE (3390)",2008,439,22
"274","COMPTON-DREW ILC MIDDLE (3390)",2009,415,11
"275","COMPTON-DREW ILC MIDDLE (3390)",2010,427,15
"276","COMPTON-DREW ILC MIDDLE (3390)",2011,470,17
"277","COMPTON-DREW ILC MIDDLE (3390)",2012,531,16
"278","COMPTON-DREW ILC MIDDLE (3390)",2013,535,12
"279","COMPTON-DREW ILC MIDDLE (3390)",2014,522,9
"280","COMPTON-DREW ILC MIDDLE (3390)",2015,496,27
"281","STEVENS MIDDLE COMMUNITY ED. (3400)",2008,257,35
"282","STEVENS MIDDLE COMMUNITY ED. (3400)",2009,273,66
"283","STEVENS MIDDLE COMMUNITY ED. (3400)",2010,248,29
"284","STEVENS MIDDLE COMMUNITY ED. (3400)",2011,174,24
"285","STEVENS MIDDLE COMMUNITY ED. (3400)",2012,0,0
"286","STEVENS MIDDLE COMMUNITY ED. (3400)",2013,0,0
"287","STEVENS MIDDLE COMMUNITY ED. (3400)",2014,0,0
"288","STEVENS MIDDLE COMMUNITY ED. (3400)",2015,0,0
"289","ADAMS ELEM. (4000)",2008,299,1
"290","ADAMS ELEM. (4000)",2009,303,0
"291","ADAMS ELEM. (4000)",2010,350,4
"292","ADAMS ELEM. (4000)",2011,291,3
"293","ADAMS ELEM. (4000)",2012,283,1
"294","ADAMS ELEM. (4000)",2013,279,0
"295","ADAMS ELEM. (4000)",2014,314,4
"296","ADAMS ELEM. (4000)",2015,278,6
"297","ASHLAND ELEM. AND BR. (4060)",2008,344,25
"298","ASHLAND ELEM. AND BR. (4060)",2009,329,0
"299","ASHLAND ELEM. AND BR. (4060)",2010,318,3
"300","ASHLAND ELEM. AND BR. (4060)",2011,291,5
"301","ASHLAND ELEM. AND BR. (4060)",2012,257,10
"302","ASHLAND ELEM. AND BR. (4060)",2013,336,13
"303","ASHLAND ELEM. AND BR. (4060)",2014,341,13
"304","ASHLAND ELEM. AND BR. (4060)",2015,329,0
"305","BADEN ELEM. (4080)",2008,287,1
"306","BADEN ELEM. (4080)",2009,263,0
"307","BADEN ELEM. (4080)",NA,NA,NA
"308","BADEN ELEM. (4080)",NA,NA,NA
"309","BADEN ELEM. (4080)",NA,NA,NA
"310","BADEN ELEM. (4080)",NA,NA,NA
"311","BADEN ELEM. (4080)",NA,NA,NA
"312","BADEN ELEM. (4080)",NA,NA,NA
"313","BRYAN HILL ELEM. (4180)",2008,180,3
"314","BRYAN HILL ELEM. (4180)",2009,167,1
"315","BRYAN HILL ELEM. (4180)",2010,176,6
"316","BRYAN HILL ELEM. (4180)",2011,165,1
"317","BRYAN HILL ELEM. (4180)",2012,168,0
"318","BRYAN HILL ELEM. (4180)",2013,187,0
"319","BRYAN HILL ELEM. (4180)",2014,170,2
"320","BRYAN HILL ELEM. (4180)",2015,184,0
"321","BUDER ELEM. (4200)",2008,362,0
"322","BUDER ELEM. (4200)",2009,324,0
"323","BUDER ELEM. (4200)",2010,339,1
"324","BUDER ELEM. (4200)",2011,327,2
"325","BUDER ELEM. (4200)",2012,345,0
"326","BUDER ELEM. (4200)",2013,349,0
"327","BUDER ELEM. (4200)",2014,315,0
"328","BUDER ELEM. (4200)",2015,325,0
"329","AMES VISUAL/PERF. ARTS (4250)",2008,259,0
"330","AMES VISUAL/PERF. ARTS (4250)",2009,286,1
"331","AMES VISUAL/PERF. ARTS (4250)",2010,318,4
"332","AMES VISUAL/PERF. ARTS (4250)",2011,347,11
"333","AMES VISUAL/PERF. ARTS (4250)",2012,342,0
"334","AMES VISUAL/PERF. ARTS (4250)",2013,416,0
"335","AMES VISUAL/PERF. ARTS (4250)",2014,364,2
"336","AMES VISUAL/PERF. ARTS (4250)",2015,345,0
"337","CLARK ELEM. (4320)",2008,184,1
"338","CLARK ELEM. (4320)",2009,197,11
"339","CLARK ELEM. (4320)",NA,NA,NA
"340","CLARK ELEM. (4320)",NA,NA,NA
"341","CLARK ELEM. (4320)",NA,NA,NA
"342","CLARK ELEM. (4320)",NA,NA,NA
"343","CLARK ELEM. (4320)",NA,NA,NA
"344","CLARK ELEM. (4320)",NA,NA,NA
"345","CLAY ELEM. (4360)",2008,227,0
"346","CLAY ELEM. (4360)",2009,181,1
"347","CLAY ELEM. (4360)",2010,183,0
"348","CLAY ELEM. (4360)",2011,152,0
"349","CLAY ELEM. (4360)",2012,125,0
"350","CLAY ELEM. (4360)",2013,139,0
