Name,Year,Out_School_Suspension
ELIAS MICHAEL ELEM.,2009,0
ELIAS MICHAEL ELEM.,2010,0
ELIAS MICHAEL ELEM.,2011,0
ELIAS MICHAEL ELEM.,2012,0
ELIAS MICHAEL ELEM.,2013,0
ELIAS MICHAEL ELEM.,2014,0
ELIAS MICHAEL ELEM.,2015,0
EXTERNAL LOCATION,2008,0
EXTERNAL LOCATION,2009,0
EXTERNAL LOCATION,2010,0
EXTERNAL LOCATION,2011,0
EXTERNAL LOCATION,2012,0
EXTERNAL LOCATION,2013,0
EXTERNAL LOCATION,2014,0
EXTERNAL LOCATION,2015,0
FANNING MIDDLE COMMUNITY ED.,2008,12.1
FANNING MIDDLE COMMUNITY ED.,2009,15.6
FANNING MIDDLE COMMUNITY ED.,2010,15.1
FANNING MIDDLE COMMUNITY ED.,2011,5.9
FANNING MIDDLE COMMUNITY ED.,2012,14.2
FANNING MIDDLE COMMUNITY ED.,2013,12.6
FANNING MIDDLE COMMUNITY ED.,2014,1.5
FANNING MIDDLE COMMUNITY ED.,2015,4.8
FARRAGUT ELEM.,2008,0.5
FARRAGUT ELEM.,2009,1.7
FARRAGUT ELEM.,2010,2.3
FARRAGUT ELEM.,2011,0.6
FARRAGUT ELEM.,2012,1.2
FARRAGUT ELEM.,2013,0
FARRAGUT ELEM.,2014,0
FARRAGUT ELEM.,2015,0
FORD-FORD BR. ELEM. COMM. ED.,2008,0.3
FORD-FORD BR. ELEM. COMM. ED.,2009,0.7
FORD-FORD BR. ELEM. COMM. ED.,2010,0.3
FORD-FORD BR. ELEM. COMM. ED.,2011,1.4
FORD-FORD BR. ELEM. COMM. ED.,2012,2.8
FORD-FORD BR. ELEM. COMM. ED.,2013,3.4
FORD-FORD BR. ELEM. COMM. ED.,2014,0.8
FORD-FORD BR. ELEM. COMM. ED.,2015,0.3
FROEBEL ELEM.,2008,0
FROEBEL ELEM.,2009,0
FROEBEL ELEM.,2010,0.6
FROEBEL ELEM.,2011,0.3
FROEBEL ELEM.,2012,0
FROEBEL ELEM.,2013,0
FROEBEL ELEM.,2014,0
FROEBEL ELEM.,2015,0
GALLAUDET SCH. FOR DEAF ELEM.,2008,4.9
GALLAUDET SCH. FOR DEAF ELEM.,2009,2.4
GALLAUDET SCH. FOR DEAF ELEM.,2010,2.1
GALLAUDET SCH. FOR DEAF ELEM.,2011,0
GALLAUDET SCH. FOR DEAF ELEM.,2012,
GALLAUDET SCH. FOR DEAF ELEM.,2013,
GALLAUDET SCH. FOR DEAF ELEM.,2014,
GALLAUDET SCH. FOR DEAF ELEM.,2015,
GATEWAY ELEM.,2008,0.6
GATEWAY ELEM.,2009,0.5
GATEWAY ELEM.,2010,0.6
GATEWAY ELEM.,2011,0.9
GATEWAY ELEM.,2012,1
GATEWAY ELEM.,2013,0
GATEWAY ELEM.,2014,0
GATEWAY ELEM.,2015,0.2
GATEWAY HIGH,2008,9.7
GATEWAY HIGH,2009,4.5
GATEWAY HIGH,2010,6.8
GATEWAY HIGH,2011,4.9
GATEWAY HIGH,2012,2.9
GATEWAY HIGH,2013,3
GATEWAY HIGH,2014,1.9
GATEWAY HIGH,2015,2.3
GATEWAY MIDDLE,2008,4.3
GATEWAY MIDDLE,2009,3.5
GATEWAY MIDDLE,2010,5.5
GATEWAY MIDDLE,2011,4.3
GATEWAY MIDDLE,2012,5.2
GATEWAY MIDDLE,2013,3.5
GATEWAY MIDDLE,2014,4.1
GATEWAY MIDDLE,2015,3.8
GRISCOM JUVENILE DETENTION CTR,2008,0
GRISCOM JUVENILE DETENTION CTR,2009,17.4
GRISCOM JUVENILE DETENTION CTR,2010,0
GRISCOM JUVENILE DETENTION CTR,2011,0
GRISCOM JUVENILE DETENTION CTR,2012,
GRISCOM JUVENILE DETENTION CTR,2013,
GRISCOM JUVENILE DETENTION CTR,2014,
GRISCOM JUVENILE DETENTION CTR,2015,0
GUNDLACH ELEM.,2008,4.6
GUNDLACH ELEM.,2009,
GUNDLACH ELEM.,2010,
GUNDLACH ELEM.,2011,
GUNDLACH ELEM.,2012,
GUNDLACH ELEM.,2013,
GUNDLACH ELEM.,2014,
GUNDLACH ELEM.,2015,
HAMILTON ELEM. COMMUNITY ED.,2008,4.7
HAMILTON ELEM. COMMUNITY ED.,2009,1.1
HAMILTON ELEM. COMMUNITY ED.,2010,2.6
HAMILTON ELEM. COMMUNITY ED.,2011,0.3
HAMILTON ELEM. COMMUNITY ED.,2012,1.3
HAMILTON ELEM. COMMUNITY ED.,2013,0.3
HAMILTON ELEM. COMMUNITY ED.,2014,1.6
HAMILTON ELEM. COMMUNITY ED.,2015,1.4
HENRY ELEM.,2008,3.7
HENRY ELEM.,2009,0.6
HENRY ELEM.,2010,1.3
HENRY ELEM.,2011,1.4
HENRY ELEM.,2012,4.7
HENRY ELEM.,2013,0.9
HENRY ELEM.,2014,1.1
HENRY ELEM.,2015,1.6
HERZOG ELEM.,2008,3.6
HERZOG ELEM.,2009,2.6
HERZOG ELEM.,2010,4.9
HERZOG ELEM.,2011,3.4
HERZOG ELEM.,2012,2.7
HERZOG ELEM.,2013,0.5
HERZOG ELEM.,2014,1.5
HERZOG ELEM.,2015,0.5
HICKEY ELEM.,2008,0
HICKEY ELEM.,2009,3
HICKEY ELEM.,2010,1.2
HICKEY ELEM.,2011,0.5
HICKEY ELEM.,2012,0
HICKEY ELEM.,2013,1.1
HICKEY ELEM.,2014,0.5
HICKEY ELEM.,2015,0
HODGEN ELEM.,2008,1
HODGEN ELEM.,2009,1.3
HODGEN ELEM.,2010,3.6
HODGEN ELEM.,2011,1.2
HODGEN ELEM.,2012,0.4
HODGEN ELEM.,2013,0
HODGEN ELEM.,2014,0.7
HODGEN ELEM.,2015,0
HUMBOLDT ACAD OF HIGHER LRNING,2008,
HUMBOLDT ACAD OF HIGHER LRNING,2009,
HUMBOLDT ACAD OF HIGHER LRNING,2010,
HUMBOLDT ACAD OF HIGHER LRNING,2011,
HUMBOLDT ACAD OF HIGHER LRNING,2012,0
HUMBOLDT ACAD OF HIGHER LRNING,2013,0
HUMBOLDT ACAD OF HIGHER LRNING,2014,0
HUMBOLDT ACAD OF HIGHER LRNING,2015,0
JEFFERSON ELEM.,2008,1
JEFFERSON ELEM.,2009,2
JEFFERSON ELEM.,2010,1.9
JEFFERSON ELEM.,2011,2.5
JEFFERSON ELEM.,2012,2
JEFFERSON ELEM.,2013,0.9
JEFFERSON ELEM.,2014,0.9
JEFFERSON ELEM.,2015,1.5
KENNARD/CLASSICAL JR. ACAD.,2008,0
KENNARD/CLASSICAL JR. ACAD.,2009,0
KENNARD/CLASSICAL JR. ACAD.,2010,0.3
KENNARD/CLASSICAL JR. ACAD.,2011,0
KENNARD/CLASSICAL JR. ACAD.,2012,0
KENNARD/CLASSICAL JR. ACAD.,2013,0
KENNARD/CLASSICAL JR. ACAD.,2014,0
KENNARD/CLASSICAL JR. ACAD.,2015,0
LACLEDE ELEM.,2008,2.3
LACLEDE ELEM.,2009,0.8
LACLEDE ELEM.,2010,1.2
LACLEDE ELEM.,2011,0
LACLEDE ELEM.,2012,0
LACLEDE ELEM.,2013,0.5
LACLEDE ELEM.,2014,0.8
LACLEDE ELEM.,2015,1.8
LANGSTON MIDDLE,2008,9
LANGSTON MIDDLE,2009,5.2
LANGSTON MIDDLE,2010,8.3
LANGSTON MIDDLE,2011,15.4
LANGSTON MIDDLE,2012,10.7
LANGSTON MIDDLE,2013,7.6
LANGSTON MIDDLE,2014,10.1
LANGSTON MIDDLE,2015,7.4
LEXINGTON ELEM.,2008,1.4
LEXINGTON ELEM.,2009,0.4
LEXINGTON ELEM.,2010,0
LEXINGTON ELEM.,2011,0
LEXINGTON ELEM.,2012,0
LEXINGTON ELEM.,2013,0.4
LEXINGTON ELEM.,2014,0.9
LEXINGTON ELEM.,2015,1.2
LONG MIDDLE COMMUNITY ED. CTR.,2008,10.5
LONG MIDDLE COMMUNITY ED. CTR.,2009,4.4
LONG MIDDLE COMMUNITY ED. CTR.,2010,3.3
LONG MIDDLE COMMUNITY ED. CTR.,2011,7.9
LONG MIDDLE COMMUNITY ED. CTR.,2012,7.3
LONG MIDDLE COMMUNITY ED. CTR.,2013,9.3
LONG MIDDLE COMMUNITY ED. CTR.,2014,5.7
LONG MIDDLE COMMUNITY ED. CTR.,2015,7.1
L'OUVERTURE MIDDLE,2008,10.6
L'OUVERTURE MIDDLE,2009,18.1
L'OUVERTURE MIDDLE,2010,16.3
L'OUVERTURE MIDDLE,2011,15.1
L'OUVERTURE MIDDLE,2012,12.2
L'OUVERTURE MIDDLE,2013,14.7
L'OUVERTURE MIDDLE,2014,0
L'OUVERTURE MIDDLE,2015,
LYON AT BLOW ELEM.,2008,1.3
LYON AT BLOW ELEM.,2009,4.8
LYON AT BLOW ELEM.,2010,1.8
LYON AT BLOW ELEM.,2011,4.4
LYON AT BLOW ELEM.,2012,9.4
LYON AT BLOW ELEM.,2013,2.3
LYON AT BLOW ELEM.,2014,2.1
LYON AT BLOW ELEM.,2015,2.8
MALLINCKRODT A.B.I. ELEM.,2008,0
MALLINCKRODT A.B.I. ELEM.,2009,0
MALLINCKRODT A.B.I. ELEM.,2010,0
MALLINCKRODT A.B.I. ELEM.,2011,0.6
MALLINCKRODT A.B.I. ELEM.,2012,0
MALLINCKRODT A.B.I. ELEM.,2013,0
MALLINCKRODT A.B.I. ELEM.,2014,0
MALLINCKRODT A.B.I. ELEM.,2015,0
MANN ELEM.,2008,0.5
MANN ELEM.,2009,0
MANN ELEM.,2010,0.4
MANN ELEM.,2011,2.9
MANN ELEM.,2012,0.9
MANN ELEM.,2013,2.3
MANN ELEM.,2014,0
MANN ELEM.,2015,0.6
MARK TWAIN ELEM.,2008,1.1
MARK TWAIN ELEM.,2009,2.3
MARK TWAIN ELEM.,2010,
MARK TWAIN ELEM.,2011,
MARK TWAIN ELEM.,2012,
